Identification,OnSaleIndicator,Name,PCAMarketingState.LastMarketedDate,PCAMarketingState.MarketingState,PCAMarketingState.Identification,PCAMarketingState.FirstMarketedDate,PCAMarketingState.FeaturesAndBenefits.MobileWallet.Type,PCAMarketingState.FeaturesAndBenefits.MobileWallet.Notes.0,PCAMarketingState.FeaturesAndBenefits.FeatureBenefitItem.Type,PCAMarketingState.FeaturesAndBenefits.FeatureBenefitItem.Identification,PCAMarketingState.FeaturesAndBenefits.FeatureBenefitItem.Name,PCAMarketingState.FeaturesAndBenefits.FeatureBenefitItem.FeatureBenefitEligibility.Type,PCAMarketingState.FeaturesAndBenefits.FeatureBenefitItem.FeatureBenefitEligibility.Description,PCAMarketingState.FeaturesAndBenefits.FeatureBenefitItem.FeatureBenefitEligibility.Name,PCAMarketingState.FeaturesAndBenefits.FeatureBenefitItem.Textual,PCAMarketingState.FeaturesAndBenefits.FeatureBenefitItem.Indicator,PCAMarketingState.FeaturesAndBenefits.Card.Type,PCAMarketingState.FeaturesAndBenefits.Card.Scheme,PCAMarketingState.FeaturesAndBenefits.Card.ContactlessIndicator,PCAMarketingState.Eligibility.CreditCheck.ScoringType,PCAMarketingState.Eligibility.ResidencyEligibility.ResidencyType,PCAMarketingState.Eligibility.ResidencyEligibility.ResidencyIncluded.0,PCAMarketingState.Eligibility.ResidencyEligibility.OtherResidencyType.Description,PCAMarketingState.Eligibility.ResidencyEligibility.OtherResidencyType.Name,PCAMarketingState.Eligibility.ResidencyEligibility.Notes.0,PCAMarketingState.OtherFeesCharges.FeeChargeCap.MinMaxType,PCAMarketingState.OtherFeesCharges.FeeChargeCap.FeeCapAmount,PCAMarketingState.OtherFeesCharges.FeeChargeCap.FeeType.0,PCAMarketingState.OtherFeesCharges.FeeChargeDetail.ApplicationFrequency,PCAMarketingState.OtherFeesCharges.FeeChargeDetail.FeeType,PCAMarketingState.OtherFeesCharges.FeeChargeDetail.CalculationFrequency,PCAMarketingState.OtherFeesCharges.FeeChargeDetail.FeeCategory,PCAMarketingState.OtherFeesCharges.FeeChargeDetail.FeeAmount,PCAMarketingState.OtherFeesCharges.FeeChargeDetail.Notes.0,PCAMarketingState.OtherFeesCharges.FeeChargeDetail.Notes.1,PCAMarketingState.OtherFeesCharges.FeeChargeDetail.FeeRate,PCAMarketingState.CoreProduct.ProductDescription,PCAMarketingState.CoreProduct.ProductURL,PCAMarketingState.CoreProduct.TcsAndCsURL,PCAMarketingState.CoreProduct.MonthlyMaximumCharge,PCAMarketingState.CoreProduct.ServicingAccessChannels.0,PCAMarketingState.CoreProduct.ServicingAccessChannels.1,PCAMarketingState.CoreProduct.ServicingAccessChannels.2,PCAMarketingState.CoreProduct.ServicingAccessChannels.3,PCAMarketingState.CoreProduct.ServicingAccessChannels.4,PCAMarketingState.CoreProduct.ServicingAccessChannels.5,PCAMarketingState.CoreProduct.ServicingAccessChannels.6,PCAMarketingState.CoreProduct.SalesAccessChannels.0,PCAMarketingState.CoreProduct.SalesAccessChannels.1,Segment.0,PCAMarketingState.Eligibility.OtherEligibility.Type,PCAMarketingState.Eligibility.OtherEligibility.Textual,PCAMarketingState.Eligibility.OtherEligibility.Indicator,PCAMarketingState.Eligibility.OtherEligibility.Name,PCAMarketingState.Eligibility.OtherEligibility.Notes.0,PCAMarketingState.CoreProduct.ServicingAccessChannels.7,PCAMarketingState.CoreProduct.SalesAccessChannels.2,PCAMarketingState.FeaturesAndBenefits.FeatureBenefitItem.FeatureBenefitEligibility.OtherType.Description,PCAMarketingState.FeaturesAndBenefits.FeatureBenefitItem.FeatureBenefitEligibility.OtherType.Name,PCAMarketingState.Eligibility.OtherEligibility.Amount,PCAMarketingState.Eligibility.OtherEligibility.Period,PCAMarketingState.Eligibility.OtherEligibility.OtherType.Description,PCAMarketingState.Eligibility.OtherEligibility.OtherType.Name,PCAMarketingState.Eligibility.AgeEligibility.MinimumAge,PCAMarketingState.Eligibility.AgeEligibility.Notes.0,PCAMarketingState.CoreProduct.SalesAccessChannels.3,PCAMarketingState.FeaturesAndBenefits.FeatureBenefitGroup.Type,PCAMarketingState.FeaturesAndBenefits.FeatureBenefitGroup.Name,PCAMarketingState.FeaturesAndBenefits.FeatureBenefitGroup.FeatureBenefitItem.Type,PCAMarketingState.FeaturesAndBenefits.FeatureBenefitGroup.FeatureBenefitItem.Textual,PCAMarketingState.FeaturesAndBenefits.FeatureBenefitGroup.FeatureBenefitItem.Identification,PCAMarketingState.FeaturesAndBenefits.FeatureBenefitGroup.FeatureBenefitItem.Name,PCAMarketingState.Notes.0,PCAMarketingState.Notes.1,PCAMarketingState.PredecessorID,PCAMarketingState.StateTenurePeriod,PCAMarketingState.StateTenureLength,PCAMarketingState.CreditInterest.TierBandSet.Destination,PCAMarketingState.CreditInterest.TierBandSet.TierBandMethod,PCAMarketingState.CreditInterest.TierBandSet.TierBand.TierValueMinimum,PCAMarketingState.CreditInterest.TierBandSet.TierBand.FixedVariableInterestRateType,PCAMarketingState.CreditInterest.TierBandSet.TierBand.ApplicationFrequency,PCAMarketingState.CreditInterest.TierBandSet.TierBand.CalculationFrequency,PCAMarketingState.CreditInterest.TierBandSet.TierBand.AER
"ZQ",false,"Black Account","2015-10-12","Regular",,,,,,,,,,,,,,,,,"Other","GB","Owner","Owner","To access the benefits of this account you must be resident in the UK","Minimum","3","ServiceCOther",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZQ",false,"Black Account","2015-10-12","Regular",,,,,,,,,,,,,,,,,"Other","GB","Owner","Owner","To access the benefits of this account you must be resident in the UK","Maximum","50","ServiceCOther",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZQ",false,"Black Account","2015-10-12","Regular",,,,,,,,,,,,,,,,,"Other","GB","Owner","Owner","To access the benefits of this account you must be resident in the UK",,,,"Monthly","ServiceCAccountFee","StatementMonthly","Servicing","30","Fee - Account","Updated from 26 on 26th June 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZQ",false,"Black Account","2015-10-12","Regular",,,,,,,,,,,,,,,,,"Other","GB","Owner","Owner","To access the benefits of this account you must be resident in the UK",,,,"PerTransaction","IntlPayTransNonSterling","PerTransaction","Transaction",,"Fee - Non-sterling transaction","2.75% Non-Sterling Transaction Fee on foreign currency withdrawal (UK cash machines), and \ncash withdrawals or buying currency/travellers cheques outside the UK. Also applies to payments made in a foreign currency inside or outside the UK. Customers with Black, Reward Black, Reward Platinum and Reward Silver debit cards will not be charged this fee on point of sale transactions.","2.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZQ",false,"Black Account","2015-10-12","Regular",,,,,,,,,,,,,,,,,"Other","GB","Owner","Owner","To access the benefits of this account you must be resident in the UK",,,,"PerItem","ReportStatementCopy1","PerItem","Report","3","Charge - Duplicate statement","Copy statements £3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZQ",false,"Black Account","2015-10-12","Regular",,,,,,,,,,,,,,,,,"Other","GB","Owner","Owner","To access the benefits of this account you must be resident in the UK",,,,"PerItem","DraftsBankers","PerItem","BankersDrafts","20","Fee - Bankers draft issuance","UK Bankers Draft £20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZQ",false,"Black Account","2015-10-12","Regular",,,,,,,,,,,,,,,,,"Other","GB","Owner","Owner","To access the benefits of this account you must be resident in the UK",,,,"PerTransaction","CHAPSOutInterBranch","PerTransaction","PaymentScheme","21","Fee - CHAPS (between RBS branches)","CHAPS payment (within NatWest) £20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZQ",false,"Black Account","2015-10-12","Regular",,,,,,,,,,,,,,,,,"Other","GB","Owner","Owner","To access the benefits of this account you must be resident in the UK",,,,"PerTransaction","CHAPSOutInterBank","PerTransaction","PaymentScheme","23","Fee - CHAPS (between Banks)","CHAPS payment (to another bank) £23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZQ",false,"Black Account","2015-10-12","Regular",,,,,,,,,,,,,,,,,"Other","GB","Owner","Owner","To access the benefits of this account you must be resident in the UK",,,,"PerItem","ReportReference","PerItem","Report","10","Fee","Banker’s Reference £10 each request",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZQ",false,"Black Account","2015-10-12","Regular",,,,,,,,,,,,,,,,,"Other","GB","Owner","Owner","To access the benefits of this account you must be resident in the UK",,,,"PerTransaction","ServiceCOther","PerTransaction","Cheque",,"Fee","Sterling Travellers cheques 1% of value (min £3, max £50)","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZQ",false,"Black Account","2015-10-12","Regular",,,,,,,,,,,,,,,,,"Other","GB","Owner","Owner","To access the benefits of this account you must be resident in the UK",,,,"PerTransaction","IntlPayFXPaymentOut","PerTransaction","International","22","Charge - Payment delivery","Standard International Payment: Outwards Non-Euro Payment made via Branch, Post/Fax, Telephone £22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZQ",false,"Black Account","2015-10-12","Regular",,,,,,,,,,,,,,,,,"Other","GB","Owner","Owner","To access the benefits of this account you must be resident in the UK",,,,"PerTransaction","IntlPayFXPaymentOut","PerTransaction","International","30","Charge - Payment delivery","Urgent International Payment: Outward non-Euro Payment made via Branch, Post/Fax, Telephone £30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZQ",false,"Black Account","2015-10-12","Regular",,,,,,,,,,,,,,,,,"Other","GB","Owner","Owner","To access the benefits of this account you must be resident in the UK",,,,"PerTransaction","IntlPayFXPaymentOut","PerTransaction","International","8.50","Charge - Payment delivery","International Payment Outward Payment Agents’ Charges £8.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZQ",false,"Black Account","2015-10-12","Regular",,,,,,,,,,,,,,,,,"Other","GB","Owner","Owner","To access the benefits of this account you must be resident in the UK",,,,"PerTransaction","IntlPayFXPaymentOut","PerTransaction","International","12.50","Charge - Payment delivery","International Payment: Outward Payment Agents Charge £12.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZQ",false,"Black Account","2015-10-12","Regular",,,,,,,,,,,,,,,,,"Other","GB","Owner","Owner","To access the benefits of this account you must be resident in the UK",,,,"PerTransaction","IntlPayFXPaymentOut","PerTransaction","International","0","Charge - Payment delivery","Standard International Payment: Outward Euro Payment made via Branch, Post/Fax, Telephony £0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZQ",false,"Black Account","2015-10-12","Regular",,,,,,,,,,,,,,,,,"Other","GB","Owner","Owner","To access the benefits of this account you must be resident in the UK",,,,"PerTransaction","ForeignChqDraft","PerTransaction","International","8","Charge","Foreign Drafts - Up to and including £100: £8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZQ",false,"Black Account","2015-10-12","Regular",,,,,,,,,,,,,,,,,"Other","GB","Owner","Owner","To access the benefits of this account you must be resident in the UK",,,,"PerTransaction","ForeignChqDraft","PerTransaction","International","20","Charge","Foreign Drafts - Over £100: £20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZQ",false,"Black Account","2015-10-12","Regular",,,,,,,,,,,,,,,,,"Other","GB","Owner","Owner","To access the benefits of this account you must be resident in the UK",,,,"PerTransaction","IntlPayFXPaymentIn","PerTransaction","International","1","Charge - Payment delivery","International Payments - Inwards Non-Euro Payments Up to and including £100: £1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZQ",false,"Black Account","2015-10-12","Regular",,,,,,,,,,,,,,,,,"Other","GB","Owner","Owner","To access the benefits of this account you must be resident in the UK",,,,"PerTransaction","IntlPayFXPaymentIn","PerTransaction","International","7","Charge - Payment delivery","International Payments - Inwards Non-Euro Payments Over £100: £7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZQ",false,"Black Account","2015-10-12","Regular",,,,,,,,,,,,,,,,,"Other","GB","Owner","Owner","To access the benefits of this account you must be resident in the UK",,,,"PerTransaction","ChqForeign","PerTransaction","Cheque","5","Charge - Cheques Paid In - Branches","Foreign Cheques paid in: Up to and including £100 - £5\n(Payments by Negotiation or Collection)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZQ",false,"Black Account","2015-10-12","Regular",,,,,,,,,,,,,,,,,"Other","GB","Owner","Owner","To access the benefits of this account you must be resident in the UK",,,,"PerTransaction","ChqForeign","PerTransaction","Cheque","10","Charge - Cheques Paid In - Branches","Foreign Cheques paid in: £100.01 to £5,000 - £10\n(Payments by Negotiation or Collection)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZQ",false,"Black Account","2015-10-12","Regular",,,,,,,,,,,,,,,,,"Other","GB","Owner","Owner","To access the benefits of this account you must be resident in the UK",,,,"PerTransaction","ChqForeign","PerTransaction","Cheque","30","Charge - Cheques Paid In - Branches","Foreign Cheques paid in: £5,000.01 to £20,000 - £30(Payments by Negotiation or Collection)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZQ",false,"Black Account","2015-10-12","Regular",,,,,,,,,,,,,,,,,"Other","GB","Owner","Owner","To access the benefits of this account you must be resident in the UK",,,,"PerTransaction","ChqForeign","PerTransaction","Cheque","60","Charge - Cheques Paid In - Branches","Foreign Cheques paid in: Above £20,000 - £60\n(Payments by Negotiation or Collection)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZQ",false,"Black Account","2015-10-12","Regular",,,,,,,,,,,,,,,,,"Other","GB","Owner","Owner","To access the benefits of this account you must be resident in the UK",,,,"PerTransaction","IntlPayFXPaymentOut","PerTransaction","International","23","Charge - Payment delivery","Urgent International Payment: Outwards Euro Payment made via Branch, Post/Fax, Telephone £23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZQ",false,"Black Account","2015-10-12","Regular",,,,,,,,,,,,,,,,,"Other","GB","Owner","Owner","To access the benefits of this account you must be resident in the UK",,,,"PerTransaction","IntlPayFXPaymentOut","PerTransaction","International","0","Charge - Payment delivery","Standard International Payment: Outward Payment in any currency made via Mobile Banking/Online Banking £0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZQ",false,"Black Account","2015-10-12","Regular",,,,,,,,,,,,,,,,,"Other","GB","Owner","Owner","To access the benefits of this account you must be resident in the UK",,,,"PerTransaction","IntlPayFXPaymentOut","PerTransaction","International","15","Charge - Payment delivery","Urgent International Payment: Outward Payment in any currency made via Online Banking/Mobile Banking £15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZQ",false,"Black Account","2015-10-12","Regular",,,,,,,,,,,,,,,,,"Other","GB","Owner","Owner","To access the benefits of this account you must be resident in the UK",,,,"PerTransaction","IntlPayFXPaymentIn","PerTransaction","International","0","Charge - Payment delivery","International Payment - Inwards Euro Payment of any Value: £0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZQ",false,"Black Account","2015-10-12","Regular","1","2011-07-04",,,,,,,,,,,,,,,"Other","GB","Owner","Owner","To access the benefits of this account you must be resident in the UK",,,,,,,,,,,,"This bank account offers travel insurance, mobile phone insurance and car breakdown cover along with home emergency cover. \n\nIt also provides a number of lifestyle benefits such as 24/7 concierge service, worldwide airport lounge access as well as ticket booking and travel services.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QF",true,"Foundation",,,,,"ApplePay","Android Pay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QF",true,"Foundation",,,,,"MobileBankingApp","Android Pay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QF",true,"Foundation",,,,,"Other","Android Pay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QF",true,"Foundation",,,,,"PayM","Android Pay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QF",true,"Foundation",,,,,,,"Other","116429","CardScheme",,,,"MasterCard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QF",true,"Foundation",,,,,,,"Cashback","116433","Cashback",,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QF",true,"Foundation",,,,,,,"AccountManagement","116434","OverdraftAvailable",,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QF",true,"Foundation",,,,,,,"AccountManagement","116435","PackagedAccountBenefits",,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QF",true,"Foundation",,,,,,,"AccountManagement","116422","RegularFee",,,,"None",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QF",true,"Foundation",,,,,,,"AccountManagement","116436","SetOffArrangement",,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QF",true,"Foundation",,,,,,,"Rewards","116437","Rewards",,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QF",true,"Foundation",,,,,,,"AccountManagement","116438","ChequeBookAvailable",,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QF",true,"Foundation",,,,,,,"AccountManagement","116439","CreditInterestRatePayable",,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QF",true,"Foundation",,,,,,,"Other","116423","Currency",,,,"GBP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QF",true,"Foundation",,,,,,,"AccountOpeningOrSwitching Incentive","116440","CurrentAccountSwitchService",,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QF",true,"Foundation",,,,,,,"AccountManagement","116441","DebitCard",,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QF",true,"Foundation",,,,,,,"AccountManagement","116442","DirectDebits",,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QF",true,"Foundation",,,,,,,"AccountManagement","116424","ElectronicPayments",,,,"BACS; Faster Payments; Domestic Payments; International Payments; CHAPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QF",true,"Foundation",,,,,,,"AccountManagement","116443","InstantAccess",,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QF",true,"Foundation",,,,,,,"AccountManagement","116425","JointAccountAvailability",,,,"Sole and Joint",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QF",true,"Foundation",,,,,,,"Other","116426","NegotiableTariffOptions",,,,"N/A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QF",true,"Foundation",,,,,,,"AccountManagement","116427","PaymentClearingSystemSupported",,,,"BACS; CHAPS; International systems",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QF",true,"Foundation",,,,,,,"AccountManagement","116444","QuickDepositsServiceAvailability",,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QF",true,"Foundation",,,,,,,"AccountManagement","116445","StandingOrderAvailability",,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QF",true,"Foundation",,,,,,,"AccountManagement","116446","TextAlerts",,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QF",true,"Foundation",,,,,,,"AccountManagement","116447","TransfersAllowed",,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QF",true,"Foundation",,,,,,,"AccountManagement","116448","DigitalServices",,,,"Online Banking, Moblie App, Apple Pay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QF",true,"Foundation",,,,,,,"AccountManagement","116449","AutoTransfers",,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QF",true,"Foundation",,,,,,,,,,,,,,,"DebitCard","MasterCard",true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QF",true,"Foundation","2099-12-31","Regular",,,,,,,,,,,,,,,,,,,,,,"Minimum","3","ServiceCOther",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QF",true,"Foundation","2099-12-31","Regular",,,,,,,,,,,,,,,,,,,,,,"Maximum","50","ServiceCOther",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QF",true,"Foundation","2099-12-31","Regular",,,,,,,,,,,,,,,,,,,,,,,,,"PerTransaction","IntlPayTransNonSterling","PerTransaction","Transaction",,"Fee - Non-sterling transaction","2.75% Non-Sterling Transaction Fee on foreign currency withdrawal (UK cash machines), and \ncash withdrawals or buying currency/travellers cheques outside the UK. Also applies to payments made in a foreign currency inside or outside the UK. Customers with Black, Reward Black, Reward Platinum and Reward Silver debit cards will not be charged this fee on point of sale transactions.","2.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QF",true,"Foundation","2099-12-31","Regular",,,,,,,,,,,,,,,,,,,,,,,,,"PerItem","ReportStatementCopy1","PerItem","Report","3","Charge - Duplicate statement","Copy statements £3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QF",true,"Foundation","2099-12-31","Regular",,,,,,,,,,,,,,,,,,,,,,,,,"PerItem","DraftsBankers","PerItem","BankersDrafts","20","Fee - Bankers draft issuance","UK Bankers Draft £20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QF",true,"Foundation","2099-12-31","Regular",,,,,,,,,,,,,,,,,,,,,,,,,"PerTransaction","CHAPSOutInterBranch","PerTransaction","PaymentScheme","21","Fee - CHAPS (between RBS branches)","CHAPS payment (within NatWest) £20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QF",true,"Foundation","2099-12-31","Regular",,,,,,,,,,,,,,,,,,,,,,,,,"PerTransaction","CHAPSOutInterBank","PerTransaction","PaymentScheme","23","Fee - CHAPS (between Banks)","CHAPS payment (to another bank) £23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QF",true,"Foundation","2099-12-31","Regular",,,,,,,,,,,,,,,,,,,,,,,,,"PerItem","ReportReference","PerItem","Report","10","Fee","Banker’s Reference £10 each request",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QF",true,"Foundation","2099-12-31","Regular",,,,,,,,,,,,,,,,,,,,,,,,,"PerTransaction","ServiceCOther","PerTransaction","Cheque",,"Fee","Sterling Travellers cheques 1% of value (min £3, max £50)","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QF",true,"Foundation","2099-12-31","Regular",,,,,,,,,,,,,,,,,,,,,,,,,"PerTransaction","IntlPayFXPaymentOut","PerTransaction","International","22","Charge - Payment delivery","Standard International Payment: Outwards Non-Euro Payment made via Branch, Post/Fax, Telephone £22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QF",true,"Foundation","2099-12-31","Regular",,,,,,,,,,,,,,,,,,,,,,,,,"PerTransaction","IntlPayFXPaymentOut","PerTransaction","International","30","Charge - Payment delivery","Urgent International Payment: Outward non-Euro Payment made via Branch, Post/Fax, Telephone £30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QF",true,"Foundation","2099-12-31","Regular",,,,,,,,,,,,,,,,,,,,,,,,,"PerTransaction","IntlPayFXPaymentOut","PerTransaction","International","8.50","Charge - Payment delivery","International Payment Outward Payment Agents’ Charges £8.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QF",true,"Foundation","2099-12-31","Regular",,,,,,,,,,,,,,,,,,,,,,,,,"PerTransaction","IntlPayFXPaymentOut","PerTransaction","International","12.50","Charge - Payment delivery","International Payment: Outward Payment Agents Charge £12.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QF",true,"Foundation","2099-12-31","Regular",,,,,,,,,,,,,,,,,,,,,,,,,"PerTransaction","IntlPayFXPaymentOut","PerTransaction","International","0","Charge - Payment delivery","Standard International Payment: Outward Euro Payment made via Branch, Post/Fax, Telephony £0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QF",true,"Foundation","2099-12-31","Regular",,,,,,,,,,,,,,,,,,,,,,,,,"PerTransaction","ForeignChqDraft","PerTransaction","International","8","Charge","Foreign Drafts - Up to and including £100: £8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
